연번,업소명,소  재  지,연락처,객실수,한실,양실,Twin Bed,일반호텔
157,모텔이너스,달성군 옥포면 비슬로457길 3,614-5688,21,0,20,1,
158,라온모텔,달성군 가창면 가창로 71,767-7750,21,0,20,1,
159,V원모텔,달성군 가창면 우록길 93,767-9822,20,0,20,0,
160,SKY 모텔,달성군 논공읍 논공중앙로34길 42,615-3987,26,0,24,2,
161,상록산장여관,달성군 논공읍 비슬로 1054,615-1331,25,0,25,0,
162,스타모텔,달성군 논공읍 비슬로 1648,616-8100,29,0,28,1,
163,뉴욕모텔,달성군 논공읍 용호로 26-1,615-1221,30,0,28,2,
164,뉴그랜드모텔,달성군 하빈면 하목정길 51,581-3767,35,0,34,1,
165,엘레강스,달성군 현풍면 현풍동로 196,611-4533,32,0,24,8,
166,㈜호텔리움,달성군 옥포면 비슬로 2312-6,615-0345,33,0,30,3,
